API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
30015491020000,OVATION FEDERAL COM 1318,231H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3006.20,KB,2981.00,20948.00,10657.00,GAS,ACTIVE,1,130993315,COM,331711,2021-12-15,2022-04-21,H,,,,10903.98,10653.98,2022-09-01,2023-04-01,8,2022-04-10,2022-04-21,,,,,,,,,,66457.33,3,234806.00,3,27323.00,3,398.7440,3,6.24,22.04,2.56,319315.83,1215965.00,116655.00,556735.00,10423.60,1.9159,1915.8950,143667.00,11029.00,59563.00,13026.29,9031.71,245307.00,914976.00,92811.00,432208.00,23.02,85.88,8.71,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,NENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3107680,-104.0507820,32.3119488,-104.0155174
30015491000000,OVATION FEDERAL COM 1318,211H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3007.50,KB,2983.00,20186.00,9890.00,GAS,ACTIVE,1,130993292,COM,331711,2021-12-05,2022-04-09,H,,,,10912.90,10662.90,2022-09-01,2023-04-01,8,2022-03-30,2022-04-09,,,,,,,,,,60444.50,3,84219.00,3,46408.00,3,362.6670,3,5.67,7.90,4.35,246627.49,352209.00,187926.00,507175.00,1874.19,1.4798,1479.7650,21928.00,11620.00,32359.00,1887.09,2036.10,205771.50,292791.00,156973.00,423007.00,19.30,27.46,14.72,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,NENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3108170,-104.0508130,32.3119515,-104.0155174
30015490980000,OVATION FEDERAL COM 1318,131H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3006.60,KB,2982.00,20320.00,9764.00,OIL,ACTIVE,1,130993325,COM,331711,2021-12-04,2022-04-09,H,,,,11007.13,10757.13,2022-09-01,2023-04-01,8,2022-03-30,2022-04-09,,,,,,,,,,60130.50,3,87195.00,3,45598.00,3,360.7830,3,5.59,8.11,4.24,256997.99,368514.00,195579.00,648996.00,1884.22,1.5420,1541.9880,30308.00,16763.00,52497.00,1808.03,2142.81,208713.17,302455.00,158304.00,532767.00,19.40,28.12,14.72,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,NENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3107190,-104.0507490,32.3099164,-104.0151361
30015490960000,ROCK SPUR 27 W2BO STATE,002H,ROCK SPUR 27 W2BO STATE,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),2983.00,KB,2955.00,15401.00,10648.00,GAS,ACTIVE,1,130993295,COM,331746,2021-12-23,2022-04-01,H,,,,4700.37,4450.37,2022-04-01,2023-04-01,13,,,,,,,,,,,,45535.17,1,177991.00,1,15870.00,1,273.2110,1,10.23,39.99,3.57,250112.84,1078055.00,70437.00,353491.00,15305.24,1.5007,1500.6770,53509.00,2753.00,13316.00,19436.61,14101.11,166102.33,697694.00,49820.00,241337.00,37.32,156.77,11.19,238441.67,1024546.00,67684.00,340175.00,1430.6500,53.58,230.22,15.21,900064.0000,54567.0000,278120.0000,PERMIAN BASIN,,NM,27,24S,28E,NWNE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.1953390,-104.0741100,32.1826835,-104.0710530
30015490810000,OVATION FEDERAL COM 1318,234H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3001.80,KB,2976.00,20953.00,10686.00,GAS,ACTIVE,1,130992979,COM,331711,2022-02-08,2022-10-29,H,,,,10287.09,10037.09,2023-01-01,2023-04-01,4,2022-10-18,2022-10-29,,,,,,,,,,72671.17,4,338857.00,4,20317.00,3,436.0270,4,7.24,33.76,2.02,188263.83,808703.00,53480.00,364631.00,15121.60,1.1296,1129.5830,338857.00,16195.00,126585.00,20923.56,11151.26,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,13,23S,28E,SWSW,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.2993680,-104.0489260,32.2991248,-104.0156363
30015490800000,OVATION FEDERAL COM 1318,233H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3000.70,KB,2975.00,21018.00,10687.00,GAS,ACTIVE,1,130992995,COM,331711,2022-02-07,2022-10-29,H,,,,10273.23,10023.23,2023-01-01,2023-04-01,4,2022-10-17,2022-10-29,,,,,,,,,,73221.00,4,322800.00,4,19421.00,4,439.3260,4,7.31,32.21,1.94,178890.01,744060.00,54880.00,366064.00,13557.94,1.0733,1073.3400,322800.00,19421.00,128573.00,16621.18,10877.58,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,13,23S,28E,SWSW,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.2995320,-104.0487790,32.3016647,-104.0156274
30015490790000,OVATION FEDERAL COM 1318,223H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3000.20,KB,2975.00,20314.00,9936.00,GAS,ACTIVE,1,130993018,COM,331711,2022-02-05,2022-10-16,H,,,,10376.04,10126.04,2023-01-01,2023-04-01,4,2022-09-30,2022-10-16,,,,,,,,,,30322.00,3,43692.00,3,23040.00,3,181.9320,3,2.99,4.31,2.28,76687.17,112273.00,57975.00,167691.00,1936.58,0.4601,460.1230,35413.00,17534.00,47018.00,2019.68,1903.86,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,13,23S,28E,SWSW,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.2995330,-104.0489240,32.3031931,-104.0156221
30015490780000,OVATION FEDERAL COM 1318,213H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3001.20,KB,2976.00,20368.00,9902.00,GAS,ACTIVE,1,130993032,COM,331711,2022-02-08,2022-10-16,H,,,,10308.15,10058.15,2023-01-01,2023-04-01,4,2022-09-30,2022-10-16,,,,,,,,,,44150.50,3,52713.00,3,35365.00,3,264.9030,3,4.39,5.24,3.52,109771.00,139404.00,86537.00,243030.00,1610.92,0.6586,658.6260,46620.00,24853.00,68536.00,1875.83,1533.73,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,13,23S,28E,SWSW,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.2994230,-104.0489260,32.3011590,-104.0156292
30015490770000,OVATION FEDERAL COM 1318,134H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3002.20,KB,2977.00,20327.00,9736.00,OIL,ACTIVE,1,130993031,COM,331711,2022-02-09,2022-10-16,H,,,,10407.27,10157.27,2023-01-01,2023-04-01,4,2022-09-30,2022-10-16,,,,,,,,,,32672.50,3,45561.00,3,25079.00,3,196.0350,3,3.22,4.49,2.47,78659.84,111419.00,60090.00,197807.00,1854.20,0.4720,471.9590,38343.00,19643.00,68631.00,1951.99,1805.33,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,13,23S,28E,SWSW,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.2993130,-104.0489270,32.2991238,-104.0152479
30015490760000,OVATION FEDERAL COM 1318,236H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3003.40,KB,2978.00,21115.00,10711.00,GAS,ACTIVE,1,130993000,COM,331711,2021-11-30,2022-06-09,H,,,,11274.87,11024.87,2022-11-01,2023-04-01,6,2022-05-11,2022-06-09,,,,,,,,,,61072.83,3,237107.00,3,21555.00,3,366.4370,3,5.54,21.51,1.96,253426.33,1011410.00,84858.00,561068.00,11918.85,1.5206,1520.5580,187870.00,12995.00,84764.00,14457.10,10276.00,253426.33,1011410.00,84858.00,561068.00,22.99,91.74,7.70,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,SENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3084370,-104.0517670,32.3042047,-104.0156185
30015490750000,OVATION FEDERAL COM 1318,235H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3006.70,KB,2981.00,20997.00,10681.00,GAS,ACTIVE,1,130993030,COM,331711,2021-12-06,2022-06-09,H,,,,11242.59,10992.59,2022-11-01,2023-04-01,6,2022-05-11,2022-06-09,,,,,,,,,,51718.83,3,205157.00,3,17714.00,2,310.3130,3,4.70,18.66,1.61,247948.32,998228.00,81577.00,527453.00,12236.64,1.4877,1487.6900,149669.00,9995.00,69079.00,14974.39,10415.66,247948.33,998228.00,81577.00,527453.00,22.56,90.81,7.42,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,SENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3085790,-104.0518660,32.3068717,-104.0155351
30015490740000,OVATION FEDERAL COM 1318,222H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3003.70,KB,2978.00,20120.00,9930.00,GAS,ACTIVE,1,130993021,COM,331711,2021-12-03,2022-06-03,H,,,,11237.42,10987.42,2022-11-01,2023-04-01,6,2022-05-18,2022-06-03,,,,,,,,,,42096.33,3,58634.00,3,32324.00,3,252.5780,3,3.83,5.34,2.94,166993.66,239530.00,127072.00,393634.00,1884.99,1.0020,1001.9620,31562.00,16371.00,48017.00,1927.92,1845.31,166993.67,239530.00,127072.00,393634.00,15.20,21.80,11.57,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,SENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3086280,-104.0518990,32.3086529,-104.0155289
30015490730000,OVATION FEDERAL COM 1318,212H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3004.90,KB,2979.00,20124.00,9882.00,GAS,ACTIVE,1,130993020,COM,331711,2021-12-14,2022-06-03,H,,,,11236.54,10986.54,2022-11-01,2023-04-01,6,2022-05-18,2022-06-03,,,,,,,,,,49394.00,3,65580.00,3,38464.00,3,296.3640,3,4.50,5.97,3.50,202440.33,279236.00,155901.00,509715.00,1791.11,1.2146,1214.6420,28232.00,16418.00,48936.00,1719.58,1834.99,202440.33,279236.00,155901.00,509715.00,18.43,25.42,14.19,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,SENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3085320,-104.0518330,32.3066188,-104.0155360
30015490720000,OVATION FEDERAL COM 1318,133H,OVATION FEDERAL COM 1318,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",NOVO OIL & GAS,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, SOUTH",3003.40,KB,2978.00,20495.00,9766.00,OIL,ACTIVE,1,130993040,COM,331711,2022-02-17,2022-06-02,H,,,,11394.05,11144.05,2022-11-01,2023-04-01,6,2022-05-18,2022-06-02,,,,,,,,,,80111.17,3,105493.00,3,62529.00,3,480.6670,3,7.19,9.47,5.61,220097.33,283070.00,172919.00,484302.00,1637.01,1.3206,1320.5840,17416.00,10341.00,35984.00,1684.17,1572.77,220097.33,283070.00,172919.00,484302.00,19.75,25.40,15.52,,,,,,,,,,,,PERMIAN BASIN,,NM,14,23S,28E,SENE,,,,,,,,ORYX ENERGY CO,CRESTWOOD NEW MEXICO PIPELINE LLC,49.000000,,32.3084860,-104.0517990,32.3044566,-104.0152293
30015490710000,RICK VAUGHN 7 WA FEDERAL COM,001H,RICK VAUGHN 7 WA FEDERAL COM,MARATHON OIL PERMIAN LLC,MARATHON OIL,MARATHON OIL PERMIAN LLC,MRO,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),2936.00,KB,2911.00,19950.00,9745.00,GAS,COMPLETED,1,130993013,COM,331320,2022-08-26,2023-01-22,H,,,,10242.52,9992.52,2023-02-01,2023-04-01,3,2022-12-27,2023-01-22,,,,,,,,,,73547.67,2,154378.00,2,47818.00,2,441.2860,2,7.36,15.45,4.79,179503.00,382884.00,115689.00,456029.00,3309.60,1.0770,1077.0180,135750.00,40059.00,150994.00,3388.75,3228.45,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,07,26S,29E,SESW,,,,,,,,MARATHON OIL CO - OIL,"SALT CREEK MIDSTREAM, LLC",,,32.0506290,-104.0278750,32.0786177,-104.0242994
30015490700000,OXBOW 26 25 B2LI FEDERAL COM,001H,OXBOW 26 25 B2LI FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,ROCK SPUR,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,2985.00,KB EST,2962.00,18554.00,8430.00,OIL,ACTIVE,1,130992987,COM,331710,2022-09-03,2023-01-16,H,,,,10430.99,10180.99,2023-01-01,2023-04-01,4,2022-12-27,2023-01-16,,,,,,,,,,43058.83,4,76415.00,4,30323.00,4,258.3530,4,4.23,7.51,2.98,104693.00,175332.00,75471.00,229930.00,2323.17,0.6282,628.1580,76415.00,30323.00,64015.00,2520.03,2281.95,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,28E,SWSW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.0970730,-104.0656830,32.0985972,-104.0320483
30015490690000,OXBOW 26 25 W0MP FEDERAL COM,002H,OXBOW 26 25 W0MP FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),2985.00,KB EST,2962.00,19663.00,9760.00,GAS,ACTIVE,1,130993019,COM,331708,2022-11-05,2023-01-21,H,,,,10211.50,9961.50,2023-01-01,2023-04-01,4,2022-12-27,2023-01-21,,,,,,,,,,47627.83,3,107387.00,3,29730.00,3,285.7670,3,4.78,10.78,2.98,111268.99,250470.00,69524.00,361513.00,3602.64,0.6676,667.6140,81921.00,23005.00,97172.00,3561.01,3651.81,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,28E,SWSW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.0966830,-104.0656800,32.0945306,-104.0328043
30015490680000,OXBOW 26 25 W0LI FEDERAL COM,002H,OXBOW 26 25 W0LI FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,WOLFCAMP,GAS,WOLFCAMP (GAS),2987.00,KB,2960.00,19668.00,9778.11,GAS,ACTIVE,1,130993029,COM,331707,2022-01-16,2022-08-17,H,9743.00,19668.00,9925.00,10154.03,9925.00,2022-08-01,2023-04-01,9,,,762.00,120.00,3215.00,24.00,FLOWING,2022-08-22,InitialPotentialTest,2022-08-22,InitialPotentialTest,65019.17,3,134923.00,3,42532.00,3,390.1150,3,6.55,13.59,4.29,323853.34,692180.00,208490.00,1026890.00,3319.97,1.9431,1943.1200,46871.00,16681.00,80343.00,2809.84,3340.00,225578.33,481076.00,145399.00,676317.00,22.73,48.47,14.65,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,28E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.1011250,-104.0657440,32.0981032,-104.0331481
30015490630000,OXBOW 26 25 B2EH FEDERAL COM,001H,OXBOW 26 25 B2EH FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,ROCK SPUR,EDDY (NM),DELAWARE,DELAWARE,,2ND BONE SPRING SAND,BONE SPRING,BONE SPRING,2988.00,KB,2961.00,18530.00,8427.26,OIL,ACTIVE,1,130993005,COM,331706,2022-04-09,2022-08-17,H,8139.00,18475.00,10336.00,10332.36,10336.00,2022-08-01,2023-04-01,9,,,843.00,357.00,3853.00,24.00,,2022-08-25,InitialPotentialTest,2022-08-25,InitialPotentialTest,56694.50,3,89480.00,4,43192.00,3,340.1670,3,5.49,8.66,4.18,314697.82,527975.00,226702.00,544797.00,2328.94,1.8882,1888.1870,62732.00,19886.00,45852.00,3154.58,1935.00,220310.67,359002.00,160477.00,393958.00,21.31,34.73,15.53,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,28E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.1014450,-104.0657493,32.1025481,-104.0324091
30015490620000,OXBOW 26 25 W1MP FEDERAL COM,001H,OXBOW 26 25 W1MP FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),2985.00,KB EST,2962.00,19822.00,9990.00,OIL,ACTIVE,1,130993016,COM,331705,2022-10-18,2023-01-21,H,,,,10185.52,9935.52,2023-01-01,2023-04-01,4,2022-12-27,2023-01-21,,,,,,,,,,50968.17,3,128599.00,3,29535.00,3,305.8090,3,5.13,12.94,2.97,124196.33,314864.00,71719.00,376659.00,4390.25,0.7452,745.1780,120269.00,28137.00,110104.00,4274.41,4703.59,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,28E,SWSW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.0969080,-104.0656810,32.0963449,-104.0327984
30015490610000,OXBOW 26 25 W0EH FEDERAL COM,002H,OXBOW 26 25 W0EH FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),2988.00,KB,2960.00,19665.00,9758.00,GAS,ACTIVE,1,130993012,COM,331704,2022-02-25,2022-08-03,H,,,,4872.01,4622.01,2022-08-01,2023-04-01,9,2022-07-01,2022-08-03,,,,,,,,,,49376.83,2,98519.00,2,32957.00,2,296.2610,2,10.68,21.32,7.13,218049.00,449064.00,143205.00,775852.00,3135.81,1.3083,1308.2940,38069.00,12928.00,64902.00,2944.69,2989.32,160117.67,328870.00,105306.00,570142.00,34.64,71.15,22.78,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,28E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.1019200,-104.0657470,32.1018348,-104.0500146
30015490600000,OXBOW 26 25 W1EH FEDERAL COM,001H,OXBOW 26 25 W1EH FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),2989.00,KB,2961.00,19899.00,,GAS,ACTIVE,1,130993037,COM,331703,2022-03-06,2022-08-03,H,,,,10198.72,9948.72,2022-08-01,2023-04-01,9,2022-07-01,2022-08-03,,,,,,,,,,37619.67,3,84244.00,3,24685.00,2,225.7180,3,3.78,8.47,2.48,209942.50,490557.00,128183.00,604187.00,3827.01,1.2597,1259.6550,30867.00,8488.00,44655.00,3636.55,3043.10,163730.33,380906.00,100246.00,466231.00,16.46,38.29,10.08,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,28E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.1013720,-104.0657480,32.1035689,-104.0329153
30015490580000,OXBOW 26 25 W1LI FEDERAL COM,001H,OXBOW 26 25 W1LI FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),2988.00,KB,2960.00,19848.00,9988.00,GAS,ACTIVE,1,130992986,COM,331702,2022-02-05,2022-08-03,H,,,,10216.71,9966.71,2022-08-01,2023-04-01,9,2022-07-01,2022-08-03,,,,,,,,,,64692.17,3,139513.00,3,41440.00,3,388.1530,3,6.49,14.00,4.16,299575.33,691418.00,184339.00,672208.00,3750.80,1.7975,1797.4520,51569.00,12863.00,54773.00,4009.10,3597.46,230888.67,527926.00,142901.00,517153.00,23.17,52.97,14.34,,,,,,,,,,,,PERMIAN BASIN,,NM,26,25S,28E,SWNW,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.1012080,-104.0657460,32.0999734,-104.0327865
30015490480000,HOT POTATO 26 23 FEDERAL,236H,HOT POTATO 26 23 FEDERAL,DEVON,DEVON ENERGY,"DEVON ENERGY PRODUCTION COMPANY, LP",DVN,LAGUNA SALADO,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,3095.02,KB EST,3072.02,19560.00,9076.00,OIL,ACTIVE,1,130993010,COM,328289,2022-05-27,2022-09-05,H,,,,10271.85,10021.85,2022-09-01,2023-04-01,8,2022-08-30,2022-09-05,,,,,,,,,,36485.17,4,52591.00,4,27720.00,4,218.9110,4,3.64,5.25,2.77,125554.49,198855.00,92412.00,358478.00,2151.83,0.7533,753.3270,34079.00,13874.00,53168.00,2456.32,1717.70,88599.00,138132.00,65577.00,263732.00,8.84,13.78,6.54,,,,,,,,,,,,PERMIAN BASIN,,NM,26,23S,29E,SWSE,,,,,,,,"ENLINK MIDSTREAM OPERATING, LP","DCP OPERATING COMPANY, LP",,,32.2698360,-103.9516920,32.2978560,-103.9476128
30015490470000,HOT POTATO 26 23 FEDERAL,233H,HOT POTATO 26 23 FEDERAL,DEVON,DEVON ENERGY,"DEVON ENERGY PRODUCTION COMPANY, LP",DVN,LAGUNA SALADO,EDDY (NM),DELAWARE,DELAWARE,,,,BONE SPRING,3099.00,KB EST,3076.00,19438.00,9042.00,OIL,ACTIVE,1,130992992,COM,328289,2022-05-26,2022-08-27,H,,,,10226.18,9976.18,2022-09-01,2023-04-01,8,2022-08-20,2022-08-27,,,,,,,,,,47257.00,2,66606.00,2,36156.00,2,283.5420,2,4.74,6.68,3.62,185836.84,296933.00,136348.00,605462.00,2177.76,1.1150,1115.0210,38095.00,10728.00,60371.00,3550.99,1842.18,146100.50,212373.00,110705.00,473817.00,14.64,21.29,11.10,,,,,,,,,,,,PERMIAN BASIN,,NM,26,23S,29E,SWSE,,,,,,,,"ENLINK MIDSTREAM OPERATING, LP","DCP OPERATING COMPANY, LP",,,32.2698340,-103.9550280,32.2979120,-103.9565544
